Wavelength (nm);Frequency (PHz);Spectrum (arb. u.)
485.90707;0.61697;0.20309
486.77376;0.61588;0.19434
487.64036;0.61478;0.24948
488.50687;0.61369;0.19055
489.37329;0.6126;0.09381
490.23963;0.61152;0.07723
491.10588;0.61044;0.18066
491.97204;0.60937;0.1634
492.83811;0.6083;0.27897
493.70409;0.60723;0.12415
494.56999;0.60617;0.15365
495.4358;0.60511;0.00052
496.30152;0.60405;0.03774
497.16715;0.603;0.19719
498.03269;0.60195;0.27544
498.89814;0.60091;0.17968
499.76351;0.59987;0.01306
500.62879;0.59883;0.16761
501.49398;0.5978;0.13423
502.35908;0.59677;0.14464
503.22409;0.59574;0.0784
504.08902;0.59472;0.24822
504.95386;0.5937;0.02688
505.81861;0.59269;0
506.68327;0.59168;0.06348
507.54784;0.59067;0.14368
508.41232;0.58966;0.16613
509.27672;0.58866;0.18268
510.14103;0.58767;0.0626
511.00525;0.58667;0.18441
511.86938;0.58568;0.21618
512.73342;0.58469;0.17621
513.59738;0.58371;0.23952
514.46125;0.58273;0.11319
515.32503;0.58175;0.14289
516.18872;0.58078;0.36867
517.05232;0.57981;0.36924
517.91583;0.57884;0.34978
518.77926;0.57788;0.2517
519.6426;0.57692;0.26286
520.50585;0.57596;0.09285
521.36901;0.57501;0.15306
522.23208;0.57406;0.10719
523.09507;0.57311;0.26557
523.95797;0.57217;0.3485
524.82078;0.57123;0.29279
525.6835;0.57029;0.23641
526.54613;0.56936;0.17757
527.40867;0.56843;0.23303
528.27113;0.5675;0.16218
529.1335;0.56657;0.17552
529.99578;0.56565;0.15344
530.85797;0.56473;0.21612
531.72008;0.56382;0.25576
532.58209;0.5629;0.26945
533.44402;0.56199;0.32045
534.30586;0.56109;0.30216
535.16761;0.56018;0.28518
536.02927;0.55928;0.14049
536.89085;0.55839;0.13677
537.75233;0.55749;0.07886
538.61373;0.5566;0.20674
539.47504;0.55571;0.13936
540.33626;0.55483;0.11781
541.1974;0.55394;0.22084
542.05844;0.55306;0.20808
542.9194;0.55219;0.15903
543.78027;0.55131;0.33254
544.64105;0.55044;0.12238
545.50174;0.54957;0.15038
546.36235;0.54871;0.2602
547.22286;0.54784;0.10312
548.08329;0.54698;0.16387
548.94363;0.54613;0.14441
549.80388;0.54527;0.11229
550.66405;0.54442;0.1283
551.52412;0.54357;0.09703
552.38411;0.54272;0.21644
553.24401;0.54188;0.18448
554.10382;0.54104;0.17664
554.96354;0.5402;0.0921
555.82318;0.53937;0.19813
556.68273;0.53853;0.12638
557.54218;0.5377;0.26072
558.40155;0.53688;0.24427
559.26084;0.53605;0.41567
560.12003;0.53523;0.21058
560.97914;0.53441;0.17267
561.83815;0.53359;0.18379
562.69708;0.53278;0.22415
563.55592;0.53197;0.25289
564.41468;0.53116;0.1681
565.27334;0.53035;0.20434
566.13192;0.52955;0.23736
566.99041;0.52874;0.17632
567.84881;0.52794;0.27452
568.70712;0.52715;0.29316
569.56534;0.52635;0.27327
570.42348;0.52556;0.1826
571.28153;0.52477;0.29907
572.13949;0.52398;0.30176
572.99736;0.5232;0.17377
573.85514;0.52242;0.28792
574.71284;0.52164;0.2155
575.57044;0.52086;0.24966
576.42796;0.52009;0.24941
577.28539;0.51931;0.20102
578.14273;0.51854;0.19783
578.99999;0.51778;0.19994
579.85715;0.51701;0.0756
580.71423;0.51625;0.10794
581.57122;0.51549;0.15268
582.42812;0.51473;0.16371
583.28493;0.51397;0.0456
584.14166;0.51322;0.19222
584.9983;0.51247;0.18362
585.85484;0.51172;0.19536
586.7113;0.51097;0.27999
587.56768;0.51023;0.28513
588.42396;0.50948;0.24636
589.28016;0.50874;0.25253
590.13626;0.50801;0.32614
590.99228;0.50727;0.21743
591.84821;0.50654;0.18288
592.70406;0.5058;0.08929
593.55981;0.50508;0.19462
594.41548;0.50435;0.13039
595.27106;0.50362;0.1264
596.12655;0.5029;0.24922
596.98195;0.50218;0.2281
597.83726;0.50146;0.23003
598.69249;0.50075;0.26895
599.54763;0.50003;0.18421
600.40268;0.49932;0.2543
601.25764;0.49861;0.19389
602.11251;0.4979;0.26423
602.9673;0.4972;0.22564
603.82199;0.49649;0.25004
604.6766;0.49579;0.23767
605.53112;0.49509;0.25085
606.38555;0.49439;0.25457
607.2399;0.4937;0.31676
608.09415;0.493;0.23247
608.94832;0.49231;0.21589
609.8024;0.49162;0.21278
610.65639;0.49093;0.25311
611.5103;0.49025;0.21604
612.36411;0.48957;0.23994
613.21784;0.48888;0.17272
614.07148;0.4882;0.25489
614.92503;0.48753;0.34759
615.77849;0.48685;0.23147
616.63186;0.48618;0.27092
617.48515;0.48551;0.18422
618.33835;0.48484;0.10792
619.19146;0.48417;0.12388
620.04448;0.4835;0.19273
620.89741;0.48284;0.34431
621.75026;0.48218;0.27693
622.60301;0.48151;0.30349
623.45568;0.48086;0.23422
624.30826;0.4802;0.29724
625.16076;0.47954;0.20821
626.01316;0.47889;0.31177
626.86548;0.47824;0.31454
627.7177;0.47759;0.30979
628.56984;0.47694;0.25038
629.42189;0.4763;0.2654
630.27386;0.47565;0.2353
631.12573;0.47501;0.26005
631.97752;0.47437;0.25494
632.82922;0.47373;0.20759
633.68083;0.4731;0.26842
634.53235;0.47246;0.21507
635.38379;0.47183;0.18527
636.23513;0.4712;0.09782
637.08639;0.47057;0.22161
637.93756;0.46994;0.21356
638.78864;0.46931;0.21452
639.63963;0.46869;0.17191
640.49054;0.46807;0.22274
641.34136;0.46745;0.21514
642.19208;0.46683;0.29059
643.04272;0.46621;0.15731
643.89328;0.46559;0.26009
644.74374;0.46498;0.20119
645.59412;0.46437;0.26181
646.44441;0.46376;0.2311
647.2946;0.46315;0.25686
648.14472;0.46254;0.21808
648.99474;0.46193;0.24008
649.84467;0.46133;0.2156
650.69452;0.46073;0.21766
651.54428;0.46013;0.20021
652.39395;0.45953;0.26506
653.24353;0.45893;0.17905
654.09303;0.45833;0.12591
654.94243;0.45774;0.10463
655.79175;0.45715;0.2943
656.64098;0.45655;0.30777
657.49012;0.45596;0.23996
658.33918;0.45538;0.25561
659.18814;0.45479;0.30511
660.03702;0.45421;0.24841
660.88581;0.45362;0.18338
661.73451;0.45304;0.17692
662.58312;0.45246;0.19657
663.43165;0.45188;0.21302
664.28008;0.4513;0.30594
665.12843;0.45073;0.23483
665.97669;0.45015;0.23603
666.82486;0.44958;0.24596
667.67294;0.44901;0.26056
668.52094;0.44844;0.22477
669.36885;0.44787;0.25449
670.21667;0.44731;0.16153
671.0644;0.44674;0.25668
671.91204;0.44618;0.2406
672.75959;0.44562;0.19989
673.60706;0.44506;0.21945
674.45444;0.4445;0.33673
675.30173;0.44394;0.27695
676.14893;0.44338;0.28288
676.99604;0.44283;0.33015
677.84307;0.44227;0.24856
678.69;0.44172;0.29143
679.53685;0.44117;0.25425
680.38361;0.44062;0.22706
681.23029;0.44008;0.2153
682.07687;0.43953;0.27227
682.92337;0.43898;0.26523
683.76977;0.43844;0.23781
684.61609;0.4379;0.2578
685.46233;0.43736;0.20762
686.30847;0.43682;0.1618
687.15453;0.43628;0.26099
688.00049;0.43574;0.19458
688.84637;0.43521;0.17986
689.69216;0.43468;0.2455
690.53786;0.43414;0.23066
691.38348;0.43361;0.28869
692.22901;0.43308;0.21118
693.07444;0.43255;0.14689
693.91979;0.43203;0.22695
694.76505;0.4315;0.20426
695.61023;0.43098;0.26901
696.45531;0.43045;0.30937
697.30031;0.42993;0.28199
698.14522;0.42941;0.23056
698.99004;0.42889;0.23064
699.83477;0.42838;0.20047
700.67942;0.42786;0.22391
701.52397;0.42734;0.26261
702.36844;0.42683;0.19146
703.21282;0.42632;0.20445
704.05711;0.42581;0.23135
704.90132;0.4253;0.18695
705.74543;0.42479;0.2544
706.58946;0.42428;0.32048
707.4334;0.42377;0.28694
708.27725;0.42327;0.27295
709.12101;0.42277;0.27758
709.96469;0.42226;0.22145
710.80827;0.42176;0.3066
711.65177;0.42126;0.29195
712.49518;0.42076;0.22342
713.3385;0.42027;0.21484
714.18174;0.41977;0.15843
715.02488;0.41928;0.26435
715.86794;0.41878;0.36232
716.71091;0.41829;0.27161
717.55379;0.4178;0.30317
718.39658;0.41731;0.29375
719.23929;0.41682;0.31846
720.0819;0.41633;0.18841
720.92443;0.41584;0.2677
721.76687;0.41536;0.2845
722.60922;0.41487;0.17657
723.45149;0.41439;0.22729
724.29366;0.41391;0.30709
725.13575;0.41343;0.27071
725.97775;0.41295;0.30409
726.81966;0.41247;0.22887
727.66148;0.41199;0.23657
728.50322;0.41152;0.24066
729.34486;0.41104;0.16615
730.18642;0.41057;0.21976
731.02789;0.4101;0.2445
731.86927;0.40963;0.25119
732.71057;0.40916;0.20443
733.55177;0.40869;0.24233
