alpha,gamma,loss,wavelength
0.999948401,1.016043614,2.91E-25,8.28E+01
0.999925782,3.086882044,4.58E-29,1.77E+02
0.999957197,4.847896767,4.12E-27,2.39E+02
0.999177691,6.002791594,1.19E-27,2.86E+02
0.99342016,5.999281543,3.97E-25,3.10E+02
0.999948043,1.091401953,4.32E-27,8.67E+01
0.999931061,3.367691799,2.57E-27,1.86E+02
0.999956788,4.99863486,3.28E-28,2.45E+02
0.999928051,5.979015705,1.08E-27,2.83E+02
0.992447409,6.001964209,1.65E-25,3.15E+02
0.999934725,1.000042642,1.62E-16,6.93E+01
0.999955559,2.770543602,1.93E-25,1.62E+02
0.99996617,4.063329372,2.05E-25,2.08E+02
0.999956812,5.010261537,2.29E-28,2.46E+02
0.999923382,5.74486285,8.09E-27,2.74E+02
0.99993557,1.000038431,2.14E-16,6.74E+01
0.99993158,2.434017609,1.86E-25,1.44E+02
0.999929384,3.386669437,5.43E-26,1.86E+02
0.999950701,4.348741937,2.03E-26,2.19E+02
0.999950901,4.767316805,4.13E-27,2.35E+02
0.999963871,1.000059343,1.78E-17,7.78E+01
0.999959637,1.997965967,2.72E-28,1.24E+02
0.999928765,2.607702461,2.15E-25,1.53E+02
0.999929186,2.967471901,1.33E-25,1.74E+02
0.999945831,3.483559929,3.25E-27,1.89E+02
0.999934497,1.000043767,1.50E-16,6.98E+01
0.999963418,1.733854078,4.00E-26,1.14E+02
0.999948771,2.226083012,3.72E-26,1.34E+02
0.999950974,2.495107639,2.18E-25,1.47E+02
0.999932449,2.675402083,5.92E-26,1.57E+02
0.999999998,1.000054498,5.32E-17,7.47E+01
0.999958076,1.275605313,3.83E-25,9.58E+01
0.999966,1.4535366,8.39E-26,1.04E+02
0.999942982,1.632275021,1.40E-26,1.11E+02
0.999946959,1.848857867,9.09E-27,1.19E+02
